loan_id,customer_id,origination_date,product,channel,region,loan_purpose,risk_band,risk_score,original_amount_vnd,tenor_months,annual_interest_rate
LN0000038,CUS0007264,2023-03-01,Personal Loan,Partner,Hanoi,Other,C,698,130000000,48,0.2728
LN0000039,CUS0004838,2023-12-01,Personal Loan,Digital,North,Other,B,717,43000000,36,0.239
LN0000040,CUS0001746,2023-06-01,Personal Loan,Branch,North,Electronics,B,705,226000000,24,0.1893
LN0000041,CUS0001278,2024-02-01,Installment Loan,Telesales,Ho Chi Minh City,Education,A,822,86000000,24,0.2458
LN0000042,CUS0007572,2023-06-01,Personal Loan,Partner,North,Electronics,D,627,72000000,48,0.1977
LN0000043,CUS0006239,2023-12-01,Personal Loan,Branch,Hanoi,Home Improvement,E,558,122000000,18,0.1861
LN0000044,CUS0005190,2023-07-01,Buy Now Pay Later,Partner,Hanoi,Electronics,B,740,20000000,9,0.1921
LN0000045,CUS0003341,2024-01-01,Personal Loan,Partner,Central,Consumption,C,667,67000000,36,0.2651
LN0000046,CUS0004616,2024-01-01,Credit Card,Partner,Central,Education,C,672,39000000,36,0.2412
LN0000047,CUS0002955,2023-06-01,Installment Loan,Digital,North,Consumption,B,752,93000000,12,0.2944
LN0000048,CUS0003390,2023-10-01,Installment Loan,Digital,Ho Chi Minh City,Other,A,809,81000000,18,0.2455
LN0000049,CUS0002097,2024-02-01,Personal Loan,Branch,Hanoi,Home Improvement,C,673,56000000,48,0.1818
LN0000050,CUS0008990,2023-05-01,Personal Loan,Partner,South,Education,E,453,224000000,36,0.2437
LN0000051,CUS0002333,2024-04-01,Credit Card,Digital,South,Electronics,E,459,55000000,36,0.2716
LN0000052,CUS0007767,2023-04-01,Installment Loan,Partner,North,Home Improvement,E,460,58000000,18,0.3045
LN0000053,CUS0008802,2023-01-01,Installment Loan,Partner,South,Electronics,A,761,74000000,24,0.2979
LN0000054,CUS0006844,2024-02-01,Installment Loan,Partner,Hanoi,Education,C,672,16000000,9,0.2979
LN0000055,CUS0008840,2023-03-01,Credit Card,Partner,Ho Chi Minh City,Other,B,751,80000000,36,0.3182
LN0000056,CUS0003880,2023-05-01,Personal Loan,Branch,Central,Education,B,723,133000000,48,0.2414
LN0000057,CUS0000863,2023-11-01,Installment Loan,Partner,Hanoi,Education,B,723,36000000,12,0.2194
LN0000058,CUS0002560,2023-06-01,Buy Now Pay Later,Digital,Central,Consumption,C,694,11000000,3,0.1854
LN0000059,CUS0005892,2023-04-01,Credit Card,Digital,South,Other,C,682,47000000,36,0.3079
LN0000060,CUS0004456,2024-05-01,Personal Loan,Digital,Ho Chi Minh City,Other,A,833,249000000,36,0.2053
LN0000061,CUS0001420,2023-09-01,Personal Loan,Telesales,South,Other,C,684,187000000,12,0.2275
LN0000062,CUS0008338,2023-07-01,Personal Loan,Partner,South,Home Improvement,B,754,231000000,36,0.2596
LN0000063,CUS0007462,2024-05-01,Personal Loan,Branch,Ho Chi Minh City,Electronics,B,742,158000000,12,0.1974
LN0000064,CUS0003611,2024-01-01,Credit Card,Digital,Ho Chi Minh City,Electronics,D,636,75000000,36,0.3033
LN0000065,CUS0008617,2023-08-01,Installment Loan,Digital,South,Home Improvement,C,653,42000000,18,0.2756
LN0000066,CUS0006078,2023-04-01,Installment Loan,Branch,Ho Chi Minh City,Medical,E,538,61000000,24,0.2318
LN0000067,CUS0005953,2024-01-01,Personal Loan,Partner,Central,Other,C,660,44000000,12,0.2244
LN0000068,CUS0008301,2023-09-01,Installment Loan,Digital,Ho Chi Minh City,Home Improvement,B,748,84000000,24,0.2973
LN0000069,CUS0000065,2024-05-01,Installment Loan,Branch,Ho Chi Minh City,Other,A,807,86000000,18,0.2196
LN0000070,CUS0007332,2024-02-01,Credit Card,Digital,South,Consumption,B,708,45000000,36,0.308
LN0000071,CUS0001002,2023-09-01,Credit Card,Branch,South,Education,C,681,120000000,36,0.3101
LN0000072,CUS0005845,2023-12-01,Credit Card,Partner,Ho Chi Minh City,Consumption,C,676,35000000,36,0.3034
LN0000073,CUS0005740,2023-11-01,Installment Loan,Digital,North,Home Improvement,A,777,14000000,12,0.2844
LN0000074,CUS0003581,2023-06-01,Credit Card,Partner,North,Education,C,685,87000000,36,0.3002
LN0000075,CUS0004701,2023-04-01,Personal Loan,Digital,North,Other,B,712,294000000,12,0.2191
LN0000076,CUS0006166,2023-01-01,Credit Card,Digital,Central,Home Improvement,B,755,46000000,36,0.2861
LN0000077,CUS0003658,2023-07-01,Installment Loan,Branch,Central,Education,D,630,54000000,18,0.242
LN0000078,CUS0003096,2023-03-01,Personal Loan,Digital,Ho Chi Minh City,Consumption,C,685,36000000,36,0.2099
LN0000079,CUS0006761,2023-08-01,Personal Loan,Telesales,Ho Chi Minh City,Electronics,C,694,112000000,18,0.1861
LN0000080,CUS0002426,2024-01-01,Credit Card,Partner,Central,Consumption,B,743,48000000,36,0.3521
LN0000081,CUS0002768,2023-12-01,Buy Now Pay Later,Partner,Central,Education,C,661,8000000,12,0.2726
LN0000082,CUS0003359,2024-02-01,Personal Loan,Digital,South,Medical,B,709,229000000,24,0.26
LN0000083,CUS0000916,2023-06-01,Installment Loan,Telesales,Central,Medical,A,766,15000000,24,0.2036
LN0000084,CUS0006551,2024-01-01,Personal Loan,Partner,Central,Medical,B,752,23000000,48,0.1848
LN0000085,CUS0000633,2023-05-01,Installment Loan,Branch,Hanoi,Electronics,D,626,93000000,9,0.2923
LN0000086,CUS0003826,2024-04-01,Personal Loan,Branch,Ho Chi Minh City,Education,D,585,115000000,12,0.1822
LN0000087,CUS0006475,2023-07-01,Personal Loan,Digital,Ho Chi Minh City,Electronics,C,695,67000000,18,0.208
LN0000088,CUS0006056,2023-08-01,Installment Loan,Digital,Hanoi,Electronics,B,728,76000000,9,0.3035
LN0000089,CUS0007219,2024-02-01,Personal Loan,Branch,North,Home Improvement,E,481,158000000,12,0.2912
LN0000090,CUS0002307,2024-03-01,Personal Loan,Branch,Central,Medical,C,668,201000000,24,0.2261
LN0000091,CUS0006344,2023-03-01,Personal Loan,Branch,Central,Electronics,A,842,103000000,12,0.2007
LN0000092,CUS0000077,2024-05-01,Personal Loan,Partner,Central,Home Improvement,C,691,258000000,18,0.2366
LN0000093,CUS0003727,2023-02-01,Personal Loan,Branch,North,Other,B,723,195000000,18,0.2118
LN0000094,CUS0002602,2023-06-01,Personal Loan,Telesales,South,Education,C,696,85000000,24,0.2319
LN0000095,CUS0008717,2023-07-01,Personal Loan,Branch,Ho Chi Minh City,Medical,B,753,233000000,24,0.2033
LN0000096,CUS0001858,2023-09-01,Personal Loan,Telesales,South,Education,A,777,34000000,12,0.1869
LN0000097,CUS0007925,2023-03-01,Installment Loan,Branch,Central,Electronics,C,661,26000000,24,0.2546
LN0000098,CUS0007980,2024-04-01,Credit Card,Branch,Hanoi,Electronics,B,759,20000000,36,0.3072
LN0000099,CUS0001895,2023-02-01,Personal Loan,Digital,Ho Chi Minh City,Medical,B,741,82000000,36,0.1956
LN0000100,CUS0000968,2023-04-01,Personal Loan,Branch,South,Home Improvement,C,661,135000000,48,0.183
LN0000101,CUS0005408,2024-02-01,Installment Loan,Digital,Ho Chi Minh City,Medical,D,646,96000000,6,0.2265
LN0000102,CUS0003661,2023-11-01,Installment Loan,Telesales,South,Consumption,C,696,27000000,6,0.2096
LN0000103,CUS0000845,2023-08-01,Credit Card,Partner,South,Other,B,753,107000000,36,0.3506
LN0000104,CUS0006002,2024-05-01,Buy Now Pay Later,Telesales,North,Consumption,A,817,24000000,9,0.2416
LN0000105,CUS0006387,2024-05-01,Personal Loan,Telesales,Hanoi,Medical,B,759,209000000,18,0.2543
LN0000106,CUS0004610,2023-02-01,Installment Loan,Digital,South,Electronics,B,702,61000000,18,0.2987
LN0000107,CUS0005429,2024-04-01,Installment Loan,Digital,Central,Electronics,C,694,22000000,12,0.2761
LN0000108,CUS0002735,2023-04-01,Personal Loan,Partner,North,Consumption,A,790,191000000,48,0.2179
LN0000109,CUS0008020,2023-02-01,Installment Loan,Partner,North,Education,D,641,75000000,12,0.2852
LN0000110,CUS0005373,2023-10-01,Personal Loan,Digital,South,Medical,C,695,121000000,48,0.2176
LN0000111,CUS0002846,2023-01-01,Personal Loan,Digital,Ho Chi Minh City,Consumption,B,731,242000000,18,0.2939
LN0000112,CUS0008073,2023-06-01,Personal Loan,Partner,South,Education,B,740,105000000,36,0.2472
LN0000113,CUS0000472,2023-07-01,Installment Loan,Partner,North,Consumption,D,639,36000000,18,0.2647
LN0000114,CUS0008622,2024-02-01,Buy Now Pay Later,Branch,Hanoi,Medical,A,789,29000000,9,0.2359
LN0000115,CUS0006540,2023-06-01,Personal Loan,Partner,Ho Chi Minh City,Consumption,C,691,195000000,48,0.2395
LN0000116,CUS0004726,2023-10-01,Personal Loan,Digital,Central,Home Improvement,B,742,255000000,36,0.2366
LN0000117,CUS0000122,2024-02-01,Personal Loan,Partner,North,Consumption,C,676,104000000,24,0.2525
LN0000118,CUS0000442,2024-01-01,Personal Loan,Branch,North,Education,C,683,178000000,12,0.1912
LN0000119,CUS0000540,2024-01-01,Buy Now Pay Later,Partner,Hanoi,Consumption,D,627,21000000,3,0.2821
LN0000120,CUS0006071,2023-05-01,Installment Loan,Digital,North,Other,C,662,68000000,24,0.2044
LN0000121,CUS0002183,2023-08-01,Installment Loan,Partner,South,Other,B,722,81000000,6,0.2833
LN0000122,CUS0001211,2024-03-01,Buy Now Pay Later,Partner,Ho Chi Minh City,Medical,D,637,28000000,3,0.1909
LN0000123,CUS0000899,2023-01-01,Buy Now Pay Later,Partner,Hanoi,Electronics,A,827,12000000,6,0.2649
LN0000124,CUS0002029,2024-04-01,Personal Loan,Digital,Ho Chi Minh City,Electronics,B,700,86000000,48,0.2354
LN0000125,CUS0002453,2023-04-01,Installment Loan,Branch,Hanoi,Home Improvement,B,719,83000000,9,0.2398
LN0000126,CUS0007215,2023-01-01,Credit Card,Telesales,North,Home Improvement,C,650,100000000,36,0.2425
LN0000127,CUS0003019,2023-01-01,Credit Card,Telesales,Hanoi,Other,A,838,23000000,36,0.3022
LN0000128,CUS0005165,2023-08-01,Buy Now Pay Later,Partner,South,Education,A,815,21000000,12,0.253
LN0000129,CUS0000865,2023-11-01,Credit Card,Branch,South,Electronics,C,666,46000000,36,0.3187
LN0000130,CUS0000754,2023-12-01,Credit Card,Partner,Central,Electronics,B,756,117000000,36,0.3135
LN0000131,CUS0002227,2024-05-01,Credit Card,Digital,Hanoi,Consumption,C,689,30000000,36,0.2636
LN0000132,CUS0004873,2024-04-01,Personal Loan,Digital,North,Education,E,575,222000000,24,0.2593
LN0000133,CUS0000654,2023-11-01,Buy Now Pay Later,Digital,South,Home Improvement,B,751,29000000,6,0.2829
LN0000134,CUS0001580,2023-08-01,Buy Now Pay Later,Partner,Ho Chi Minh City,Home Improvement,D,628,6000000,3,0.1858
LN0000135,CUS0004065,2023-02-01,Installment Loan,Digital,Hanoi,Education,C,692,43000000,9,0.308
LN0000136,CUS0004202,2023-02-01,Personal Loan,Branch,Ho Chi Minh City,Consumption,A,818,166000000,24,0.2245
LN0000137,CUS0008308,2023-09-01,Credit Card,Partner,North,Medical,B,749,18000000,36,0.324
LN0000138,CUS0001717,2024-01-01,Buy Now Pay Later,Digital,North,Home Improvement,A,845,6000000,3,0.1929
LN0000139,CUS0000961,2023-10-01,Buy Now Pay Later,Partner,Hanoi,Home Improvement,D,637,3000000,9,0.2236
LN0000140,CUS0005639,2023-12-01,Installment Loan,Digital,Hanoi,Education,A,828,15000000,9,0.2334
LN0000141,CUS0006662,2023-02-01,Installment Loan,Telesales,Hanoi,Electronics,D,583,52000000,9,0.3121
LN0000142,CUS0007530,2024-05-01,Credit Card,Digital,South,Consumption,C,654,29000000,36,0.3164
LN0000143,CUS0001382,2023-12-01,Personal Loan,Branch,Central,Medical,A,844,111000000,12,0.232
LN0000144,CUS0006785,2024-01-01,Installment Loan,Digital,Central,Other,B,712,83000000,12,0.3123
LN0000145,CUS0001640,2023-08-01,Installment Loan,Partner,South,Electronics,B,734,67000000,18,0.259
LN0000146,CUS0002185,2023-05-01,Credit Card,Telesales,North,Education,B,724,47000000,36,0.3543
LN0000147,CUS0002540,2024-05-01,Credit Card,Digital,Ho Chi Minh City,Medical,C,682,76000000,36,0.2519
LN0000148,CUS0003886,2023-07-01,Personal Loan,Digital,Ho Chi Minh City,Other,C,665,29000000,12,0.2424
LN0000149,CUS0006354,2023-06-01,Personal Loan,Digital,Ho Chi Minh City,Consumption,B,743,25000000,36,0.2558
LN0000150,CUS0002212,2024-03-01,Personal Loan,Telesales,Hanoi,Other,C,687,219000000,36,0.2344
LN0000151,CUS0002086,2024-03-01,Buy Now Pay Later,Branch,Ho Chi Minh City,Medical,B,705,24000000,9,0.2612
LN0000152,CUS0002332,2023-11-01,Personal Loan,Partner,Hanoi,Medical,C,662,43000000,48,0.2798
LN0000153,CUS0000952,2024-02-01,Personal Loan,Telesales,South,Home Improvement,B,703,78000000,48,0.1984
LN0000154,CUS0007075,2023-07-01,Buy Now Pay Later,Branch,Ho Chi Minh City,Education,C,651,23000000,6,0.1935
LN0000155,CUS0006119,2023-11-01,Credit Card,Telesales,South,Electronics,D,584,10000000,36,0.2663
LN0000156,CUS0001772,2023-10-01,Buy Now Pay Later,Partner,Ho Chi Minh City,Medical,B,715,20000000,6,0.2191
LN0000157,CUS0003255,2024-02-01,Personal Loan,Digital,North,Other,B,739,292000000,12,0.2785
LN0000158,CUS0007833,2023-12-01,Personal Loan,Digital,North,Medical,C,684,84000000,18,0.1874
LN0000159,CUS0008997,2023-10-01,Personal Loan,Branch,South,Home Improvement,C,668,22000000,24,0.2773
LN0000160,CUS0003780,2023-06-01,Personal Loan,Digital,Central,Medical,C,697,246000000,36,0.2512
LN0000161,CUS0005634,2023-07-01,Personal Loan,Partner,South,Electronics,B,727,134000000,12,0.2602
LN0000162,CUS0002467,2023-09-01,Credit Card,Branch,Hanoi,Home Improvement,B,759,41000000,36,0.2525
LN0000163,CUS0008192,2023-10-01,Buy Now Pay Later,Partner,North,Education,E,457,13000000,12,0.2255
LN0000164,CUS0003473,2024-03-01,Buy Now Pay Later,Telesales,Ho Chi Minh City,Education,C,677,16000000,12,0.2406
LN0000165,CUS0007488,2024-01-01,Personal Loan,Digital,Central,Education,B,746,277000000,48,0.2882
LN0000166,CUS0005688,2023-11-01,Personal Loan,Partner,Hanoi,Other,B,704,149000000,48,0.2605
LN0000167,CUS0004698,2023-02-01,Personal Loan,Digital,South,Education,C,687,158000000,36,0.292
LN0000168,CUS0003131,2023-04-01,Credit Card,Branch,Hanoi,Education,E,558,58000000,36,0.2553
LN0000169,CUS0005534,2023-04-01,Personal Loan,Digital,South,Other,E,579,42000000,24,0.2496
LN0000170,CUS0002084,2023-05-01,Personal Loan,Partner,Ho Chi Minh City,Electronics,D,616,113000000,24,0.1945
LN0000171,CUS0000130,2024-05-01,Personal Loan,Digital,Central,Other,C,657,170000000,12,0.2933
LN0000172,CUS0002217,2023-07-01,Personal Loan,Digital,North,Electronics,B,708,279000000,36,0.2053
LN0000173,CUS0005515,2023-09-01,Buy Now Pay Later,Partner,Ho Chi Minh City,Home Improvement,B,703,15000000,12,0.2366
LN0000174,CUS0001954,2024-02-01,Personal Loan,Branch,North,Other,C,669,68000000,12,0.2116
LN0000175,CUS0002361,2024-01-01,Personal Loan,Partner,Ho Chi Minh City,Other,C,653,111000000,18,0.2773
LN0000176,CUS0004107,2023-12-01,Personal Loan,Branch,North,Other,C,678,123000000,48,0.2308
LN0000177,CUS0001892,2023-10-01,Personal Loan,Branch,Ho Chi Minh City,Home Improvement,B,757,49000000,12,0.2516
LN0000178,CUS0000146,2023-03-01,Personal Loan,Branch,South,Medical,A,770,269000000,18,0.2428
LN0000179,CUS0004971,2024-04-01,Credit Card,Partner,Ho Chi Minh City,Home Improvement,C,678,14000000,36,0.3083
LN0000180,CUS0005491,2023-06-01,Credit Card,Digital,North,Education,B,706,26000000,36,0.3402
LN0000181,CUS0008506,2024-01-01,Personal Loan,Digital,North,Other,B,747,218000000,24,0.2427
LN0000182,CUS0007717,2024-03-01,Buy Now Pay Later,Telesales,Hanoi,Other,C,670,11000000,12,0.2497
LN0000183,CUS0001947,2023-11-01,Personal Loan,Digital,North,Electronics,C,679,78000000,12,0.2404
LN0000184,CUS0003469,2023-06-01,Installment Loan,Partner,Ho Chi Minh City,Other,B,701,89000000,12,0.2622
LN0000185,CUS0000207,2023-09-01,Installment Loan,Digital,South,Education,B,705,10000000,12,0.299
LN0000186,CUS0001347,2023-07-01,Installment Loan,Telesales,Ho Chi Minh City,Electronics,D,609,14000000,6,0.2567
LN0000187,CUS0003404,2023-09-01,Credit Card,Digital,Ho Chi Minh City,Other,B,752,28000000,36,0.295
LN0000188,CUS0002232,2024-02-01,Personal Loan,Telesales,Ho Chi Minh City,Consumption,A,840,140000000,48,0.2537
LN0000189,CUS0000271,2023-05-01,Credit Card,Branch,North,Education,B,724,55000000,36,0.2984
LN0000190,CUS0007199,2024-02-01,Buy Now Pay Later,Digital,South,Consumption,A,847,5000000,6,0.2719
LN0000191,CUS0000207,2023-12-01,Personal Loan,Digital,South,Medical,B,748,137000000,18,0.2975
LN0000192,CUS0003371,2023-09-01,Personal Loan,Branch,South,Medical,A,807,80000000,12,0.2213
LN0000193,CUS0006786,2023-12-01,Buy Now Pay Later,Branch,North,Consumption,C,677,20000000,9,0.2664
LN0000194,CUS0000450,2023-06-01,Credit Card,Branch,Central,Education,A,810,114000000,36,0.2575
LN0000195,CUS0006294,2023-06-01,Personal Loan,Branch,South,Other,A,846,80000000,36,0.2177
LN0000196,CUS0002503,2023-08-01,Personal Loan,Partner,Central,Consumption,D,611,257000000,18,0.2391
LN0000197,CUS0000966,2023-06-01,Personal Loan,Partner,Ho Chi Minh City,Electronics,B,740,176000000,48,0.2853
LN0000198,CUS0001322,2023-01-01,Credit Card,Telesales,South,Consumption,B,705,18000000,36,0.2743
LN0000199,CUS0000841,2023-05-01,Personal Loan,Branch,Ho Chi Minh City,Medical,C,652,187000000,36,0.2588
LN0000200,CUS0003344,2024-04-01,Personal Loan,Branch,North,Home Improvement,C,659,15000000,48,0.2837
LN0000201,CUS0000151,2023-12-01,Personal Loan,Partner,North,Electronics,A,817,222000000,24,0.1984
LN0000202,CUS0003140,2023-01-01,Installment Loan,Branch,Ho Chi Minh City,Consumption,E,505,18000000,18,0.2468
LN0000203,CUS0002995,2023-10-01,Personal Loan,Digital,Hanoi,Other,A,768,279000000,18,0.2968
LN0000204,CUS0001171,2024-02-01,Installment Loan,Digital,Hanoi,Electronics,C,664,31000000,9,0.2348
LN0000205,CUS0006479,2023-01-01,Personal Loan,Digital,Ho Chi Minh City,Other,D,620,105000000,36,0.23
LN0000206,CUS0007532,2024-02-01,Credit Card,Telesales,South,Electronics,C,683,98000000,36,0.334
LN0000207,CUS0007906,2023-11-01,Installment Loan,Digital,Hanoi,Home Improvement,D,596,55000000,12,0.2744
LN0000208,CUS0006582,2023-10-01,Installment Loan,Partner,Central,Electronics,A,786,76000000,9,0.3148
LN0000209,CUS0005788,2023-09-01,Personal Loan,Branch,South,Other,B,706,44000000,18,0.1934
LN0000210,CUS0003689,2023-05-01,Buy Now Pay Later,Partner,North,Electronics,B,727,5000000,12,0.2127
LN0000211,CUS0008557,2023-04-01,Installment Loan,Telesales,Central,Education,D,580,79000000,18,0.2575
LN0000212,CUS0007630,2023-08-01,Installment Loan,Digital,South,Education,A,773,98000000,18,0.2124
LN0000213,CUS0006825,2024-04-01,Credit Card,Partner,North,Electronics,A,848,37000000,36,0.3253
LN0000214,CUS0000629,2023-02-01,Credit Card,Digital,South,Medical,D,622,17000000,36,0.2654
LN0000215,CUS0000182,2024-04-01,Personal Loan,Digital,Hanoi,Medical,D,586,256000000,18,0.214
LN0000216,CUS0000901,2023-07-01,Personal Loan,Partner,South,Home Improvement,A,850,162000000,48,0.2936
LN0000217,CUS0008282,2023-05-01,Buy Now Pay Later,Telesales,Ho Chi Minh City,Education,B,715,3000000,9,0.2644
LN0000218,CUS0008311,2023-12-01,Installment Loan,Branch,Central,Consumption,B,742,86000000,9,0.2744
LN0000219,CUS0008991,2023-02-01,Personal Loan,Partner,North,Electronics,A,848,209000000,18,0.2377
LN0000220,CUS0000108,2023-12-01,Credit Card,Branch,South,Medical,A,763,100000000,36,0.26
LN0000221,CUS0006505,2023-01-01,Personal Loan,Telesales,Central,Consumption,C,659,162000000,48,0.2184
LN0000222,CUS0001605,2024-02-01,Buy Now Pay Later,Branch,Central,Electronics,B,740,28000000,6,0.2523
LN0000223,CUS0000305,2024-03-01,Personal Loan,Telesales,Hanoi,Education,C,659,189000000,48,0.21
LN0000224,CUS0007026,2024-03-01,Personal Loan,Branch,South,Medical,B,703,71000000,36,0.2625
LN0000225,CUS0007073,2024-05-01,Credit Card,Digital,Central,Electronics,D,643,119000000,36,0.3563
LN0000226,CUS0005058,2024-02-01,Personal Loan,Digital,Hanoi,Home Improvement,C,669,156000000,12,0.2331
LN0000227,CUS0005807,2023-05-01,Installment Loan,Telesales,Ho Chi Minh City,Electronics,B,720,79000000,9,0.225
LN0000228,CUS0008891,2024-03-01,Credit Card,Digital,South,Home Improvement,A,770,28000000,36,0.2464
LN0000229,CUS0008129,2024-03-01,Credit Card,Digital,South,Electronics,A,841,15000000,36,0.2714
LN0000230,CUS0005581,2023-09-01,Installment Loan,Digital,North,Electronics,C,651,80000000,12,0.3095
LN0000231,CUS0007609,2024-01-01,Personal Loan,Telesales,Hanoi,Education,A,766,16000000,48,0.2572
LN0000232,CUS0007447,2023-09-01,Installment Loan,Digital,Ho Chi Minh City,Electronics,B,723,40000000,6,0.2037
LN0000233,CUS0003265,2023-10-01,Credit Card,Partner,South,Other,D,609,50000000,36,0.3257
LN0000234,CUS0002132,2023-02-01,Personal Loan,Partner,Central,Medical,D,623,128000000,36,0.2993
LN0000235,CUS0000764,2024-04-01,Credit Card,Branch,North,Electronics,B,740,58000000,36,0.357
LN0000236,CUS0005024,2023-03-01,Credit Card,Branch,South,Consumption,B,712,101000000,36,0.2597
LN0000237,CUS0007163,2024-03-01,Personal Loan,Branch,Ho Chi Minh City,Consumption,C,698,160000000,18,0.245
LN0000238,CUS0003551,2024-02-01,Buy Now Pay Later,Digital,South,Other,C,677,8000000,6,0.2144
LN0000239,CUS0008359,2023-07-01,Credit Card,Digital,Central,Medical,C,669,42000000,36,0.3202
LN0000240,CUS0003090,2023-06-01,Buy Now Pay Later,Digital,Ho Chi Minh City,Home Improvement,B,724,12000000,12,0.2372
LN0000241,CUS0006691,2023-05-01,Personal Loan,Telesales,South,Medical,B,704,150000000,12,0.2787
LN0000242,CUS0000807,2023-10-01,Personal Loan,Partner,South,Consumption,B,754,63000000,12,0.2257
LN0000243,CUS0006610,2023-05-01,Buy Now Pay Later,Digital,Central,Electronics,A,795,25000000,6,0.2784
LN0000244,CUS0003125,2024-05-01,Credit Card,Digital,Central,Education,C,660,76000000,36,0.2529
LN0000245,CUS0008196,2023-07-01,Personal Loan,Partner,South,Home Improvement,C,663,268000000,24,0.2155
LN0000246,CUS0002597,2023-11-01,Personal Loan,Digital,South,Education,B,759,242000000,18,0.2937
LN0000247,CUS0008686,2023-04-01,Personal Loan,Partner,Ho Chi Minh City,Education,B,713,122000000,24,0.2524
LN0000248,CUS0006371,2024-04-01,Personal Loan,Branch,Hanoi,Education,C,651,22000000,48,0.216
